time,simulation,real,t,real
10,212.18597,,60,663
20,423.95597,,120,1031
30,633.96597,,180,1704
40,837.38597,,240,3275
50,1028.87597,,300,5552
60,1204.41597,663,360,6065
70,1319.70597,,420,6073
80,1415.45597,,480,7332
90,1491.82597,,540,9233
100,1550.42597,,600,9786
110,1593.59597,,660,8576
120,1624.07597,1031,720,5786
130,1714.86597,,770,3999
140,1797.83597,,,
150,1874.57597,,,
160,1945.27597,,,
170,2009.58597,,,
180,2067.55597,1704,,
190,2318.76597,,,
200,2563.19597,,,
210,2799.46597,,,
220,3023.33597,,,
230,3230.25597,,,
240,3417.32597,3275,,
250,3726.08597,,,
260,4012.62597,,,
270,4276.27597,,,
280,4514.96597,,,
290,4726.87597,,,
300,4911.20597,5552,,
310,4917.99597,,,
320,4899.72597,,,
330,4859.70597,,,
340,4803.82597,,,
350,4738.47597,,,
360,4668.90597,6065,,
370,4467.54597,,,
380,4269.78597,,,
390,4078.92597,,,
400,3899.37597,,,
410,3735.01597,,,
420,3588.53597,6073,,
430,3619.89597,,,
440,3669.74597,,,
450,3735.98597,,,
460,3813.58597,,,
470,3896.85597,,,
480,3981.22597,7332,,
490,4273.51597,,,
500,4559.89597,,,
510,4836.76597,,,
520,5098.25597,,,
530,5338.77597,,,
540,5554.49597,9233,,
550,5635.40597,,,
560,5689.82597,,,
570,5719.54597,,,
580,5728.77597,,,
590,5722.52597,,,
600,5705.20597,9786,,
610,5476.69597,,,
620,5244.94597,,,
630,5014.25597,,,
640,4791.25597,,,
650,4582.33597,,,
660,4391.95597,8576,,
670,4192.42597,,,
680,4015.06597,,,
690,3859.98597,,,
700,3726.82597,,,
710,3614.62597,,,
720,3521.88597,5786,,
730,3513.50597,,,
740,3520.14597,,,
750,3539.02597,,,
760,3566.42597,,,
770,3598.70798,3999,,
